NetCDFName,CODE,EMOCCName,VirgBToCurrentB,PlotName
Diatom_N,PL,Large Phytoplankton,1,Large Phytoplankton
PicoPhytopl_N,PS,Small Phytoplankton,1,Small Phytoplankton
DinoFlag_N,DF,Dinoflagellates,1,Dinoflagellates
Chl_a,Chl_a,Chl. A,1,Chl. A
NA,NA,NA,1,NA
NA,NA,NA,1,NA
MicroZoo_N,ZS,MicroZooplankton,1,MicroZooplankton
Zoo_N,ZM,MesoZooplankton (eg. Copepods),1,Copepods
Carniv_Zoo_N,ZL,Large Zooplankton (e.g. euphausids),1,Euphausids
Gelat_Zoo_N,ZG,Gelatinous Zooplankton,1,Jellyfish
Cephalopod_N2,CEP,Cephalopods,1,Cephalopods
Prawn_N2,PWN,Shrimp,1,Shrimp
Pelag_Bact_N,PB,Pelagic Bacteria,1,Pelagic Bacteria
Sed_Bact_N,BB,Sediment Bacteria,1,Sediment Bacteria
Meiobenth_N,BO,Meiobenthos,1,Meiobenthos
Carrion_N,DC,Carrion,1,Carrion
NH3,NH3,NH3,1,NH3
NO3,NO3,NO3,1,NO3
Deposit_Feeder_N,BD,Benthic Deposit Feeders (crustaceans),1,Deposit Feeders
Macrobenth_Shallow_N,BMS,Macrozoobenthos Other,1,Other Macrozoobenthos
Filter_Other_N,BFF,Other Benth. Filter Feeders,1,Benthic Filter Feeders
Benthic_Carniv_N,BC,Benthic infaunal carnivores,1,Benthic Carnivores
NA,NA,NA,1,NA
NA,NA,NA,1,NA
Filter_Shallow_N,BFS,Scallops,1,Scallops
Megazoobenthos_N,BML,Lobster,1,Lobster
Benthic_grazer_N,BG,Benth. Herbivorous Grazers,1,Benthic Grazers
NA,NA,NA,1,NA
NA,NA,NA,1,NA
NA,NA,NA,1,NA
Demersal_B_Fish_N,FDB,Silver Hake,0.66,Silver Hake
Pisciv_D_Fish_N,FVD,White Hake,1,White Hake
Pisciv_S_Fish_N,FVS,Bluefish,3.3,Bluefish
Planktiv_O_Fish_N,FPO,Planktiv Other Fish,8.85,Planktiv Other Fish
Pisciv_V_Fish_N,FVV,Pisciv V Fish,1,Pisciv V Fish
NA,NA,NA,1,NA
Planktiv_S_Fish_N,FPS,Atlantic Herring,1,Herring
Planktiv_L_Fish_N,FPL,Atlantic Mackerel,1,Mackerel
Mesopel_M_Fish_N,FMM,Migratory Mesopelagics,2.083,Mesopelagics
Mesopel_N_Fish_N,FMN,Non-migratory Mesopelagics,2.84,Non-migratory Mesopelagics
Benthopel_Fish_N,FBP,Other Pelagics,1,Other Small Pelagics
Demersal_E_Fish_N,FDE,Anadromous Sm. Pelagics,1,Anadromous Pelagics
Demersal_S_Fish_N,FDS,Atlantic Cod,4,Atlantic Cod
Demersal_O_Fish_N,FDO,Haddock,2.63,Haddock
Demersal_F_Fish_N,FDF,Yellowtail Flounder,3.45,Yellowtail Flounder
Demersal_D_Fish_N,FDD,Monkfish,1,Monkfish
Demersal_M_Fish_N,FDM,Demersal Miscel. Fish,1,Demersal Fish
Pisciv_B_Fish_N,FVB,Other Demersal Flatfish,4,Other Flatfish
Shark_B_N,SHB,Spiny Dogfish,1,Spiny Dogfish
Shark_D_N,SHD,Demersal Sharks,1,Demersal Sharks
Shark_P_N,SHP,Pelagic Sharks,4,Pelagic Sharks
Shark_C_N,SHC,Dogfish,1,Dogfish
Shark_R_N,SHR,Reef Sharks,4.15,Reef Sharks
SkateRay_N,SSK,Skates and Rays,1.52,Skates and Rays
Seabird_N,SB,Seabirds,1,Seabirds
Penguin_N,SP,Penguins,1,Penguins
Pisciv_O_Fish_N,FVO,Other Tuna,10,Other Tuna
Pisciv_T_Fish_N,FVT,Large Pelagics,2,Tuna & Billfish
Demersal_P_Fish_N,FDP,Protected Demersal Fish,1.09,Protected Demersal Fish
Demersal_DC_Fish_N,FDC,Other Demersal Fish,0.66,Other Demersals
Pinniped_N,PIN,Pinnipeds,10,Pinnipeds
Whale_Baleen_N,WHB,Baleen Whales,7,Baleen Whales
Whale_Tooth_N,WHT,Toothed Whales,5,Toothed Whales
Whale_Small_N,WHS,Sm. Toothed Whales,2,Sm. Toothed Whales
Reptile_N,REP,Reptiles,3,Reptiles
Dugong_N,WDG,Dugongs,7.5,Dugongs
